name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	notch
mAL1	SEEG	uV	0.5	5000	intracranial	2000	n/a
mAL2	SEEG	uV	0.5	5000	intracranial	2000	n/a
mAR1	SEEG	uV	0.5	5000	intracranial	2000	n/a
mAR2	SEEG	uV	0.5	5000	intracranial	2000	n/a
