name	x	y	z	size	manufacturer	hemisphere	dimension
mAL1	n/a	n/a	n/a	6.41	ADTech	L	1x8
mAL2	n/a	n/a	n/a	6.41	ADTech	L	1x8
mAR1	n/a	n/a	n/a	6.41	ADTech	R	1x8
mAR2	n/a	n/a	n/a	6.41	ADTech	R	1x8
